Make,Model,Year,Price,Contact Number,Class,Category,Length,Hull Material
ISHIKAWAJIMA,Cruise Ship,1990,35000000,(866) 469-9640,Power," Cruise Ship, Commercial Boats",579,Steel
"Cruise Ship, 800 Passenger -",Stock No. S2115,1992,33333,15166475129,Power," Commercial Boats, Cruise Ship",538,Steel
RIO,Test Ad,2015,27999,(757) 351-7111,Power, Bass Boats,456,Aluminum
Ferry Car Passenger,344,2010,2700000,(877) 564-9702,Power," Cargo Ship, Other",344,Steel
Chaparral,28 ssx,2014,615000,(866) 347-9401,Power," Cruisers, Other",287,Fiberglass
Custom,Tanker,1981,750000,(866) 461-6540,Power, Commercial Boats,271,Steel
Pavati,AL-24,2015,5950000,(855) 405-6322,Power, Ski and Wakeboard Boats,248,Aluminum
Cooks & Welton,Caledonia Tall Ship,1947,649000,(216) 391-1900,Sails, Schooner,245,Fiberglass
Sea Hunt,BX,2014,6184540,"
                (251) 583-1699        ",Power, Center Console,244,FIBERGLASS/COMPOSITE
Custom Cruise Ship,239 Nil Ship,2007,4590000,(866) 469-9640,Power, Cruise Ship,239,Steel
Shadow Marine,Custom Expedition Yacht,2007,319000,(888) 573-4258,Power," Mega Yachts, Motor Yachts, Pilothouse",220,Steel
Astro,18 foot Fish N Ski,1996,3899000,"
                (225) 252-7155        ",Small Boats, Tenders/Small Boats,216,FIBERGLASS/COMPOSITE
Blount,Luxury Dinner Yacht (GPC),1987,525000,(877) 430-8039,Power, Commercial Boats,197,Steel
"Amels Shipyard, B.V.",Expedition Yacht,1972,8990000,(866) 694-9091,Power, Motor Yachts,196,Steel
Supply,General Supply Vessel,1973,650000,(866) 461-6540,Power, Commercial Boats,195,Steel
Release,Center Consoloe,2015,379000,(888) 430-6979,Power, Center Consoles,194,Composite
Sportsman,19 Island Reef,2016,1389000,(855) 751-5942,Power, Bay Boats,191,Fiberglass
Sportsman,19 Island Reef,2016,12900000,(888) 597-1629,Power, Bay Boats,191,Fiberglass
Mastercraft,SPORTSTAR,2000,600000,(888) 627-0414,Power, Ski and Wakeboard Boats,190,Composite
Pullman,MY,1943,275000,(888) 319-4650,Power," Commercial Boats, Antique and Classics, Cruise Ship",185,Steel
Wesmac,Warsan 184,2008,499999,(866) 469-9640,Power," Mega Yachts, Motor Yachts",184,Fiberglass
Yamaha Marine,SX190,2016,950000,(866) 836-7888,Power, Bowrider,180,Fiberglass
Halter Marine,Geophysical-Research Boat,1979,5450000,(866) 469-9640,Power, Commercial Boats,180,Steel
Supply,Supply Vessel,1977,310000,(866) 461-6540,Power, Commercial Boats,180,Steel
Amels,Tri-Deck,1998,2000000,(866) 836-9139,Power, Mega Yachts,178,Steel
Custom,Roll On Roll Off Landing Craft,1999,300000,(866) 461-6540,Power, Commercial Boats,174,Steel
Sportsman,17 Island Reef,2016,2750000,(855) 751-5942,Power, Bay Boats,171,Fiberglass
Sportsman,17 Island Reef,2016,3740000,(888) 597-1629,Power, Bay Boats,171,Fiberglass
Arsenal Do Alfeite,164 Classic Yacht,1968,559000,(877) 314-4354,Power," Motor Yachts, Antique and Classics",164,Steel
Arsenal Do Alfeite Custom,R-493,1968,995000,(786) 395-1284,Power, Motor Yachts,164,Steel
Arsenal Do Alfeite,Motor Yacht,1968,3895000,(877) 849-4395,Power," Motor Yachts, Mega Yachts, Flybridge",164,Steel
Trinity Yachts,CUSTOM,2007,169000,(949) 466-6264,Power," Mega Yachts, Motor Yachts",161,Aluminum
Bilgin,160 Classic (JFR),2012,499900,(877) 430-8039,Power, Motor Yachts,160,Steel
Bilgin,Classique 160,2012,8800,(877) 849-4395,Power," Mega Yachts, Pilothouse, Motor Yachts",160,Steel
Serodina,Dinner Boat,1985,599000,(888) 573-4258,Power, Commercial Boats,156,Steel
CARGO VESSEL,General Cargo Vessel,1960,5523434,(866) 461-6540,Power, Commercial Boats,154,Steel
Baglietto,46,2014,995000,(866) 594-5122,Power, Motor Yachts,152,Steel
Delta Marine,Motor Yacht,2009,1375527,(866) 594-5122,Power, Motor Yachts,151,Composite
Custom,Luxury Yacht Fish,2012,799000,(888) 891-8564,Power," Mega Yachts, Sports Fishing Boats",150,Steel
Custom,CMB Yacht (JFR),2011,674000,(877) 430-8039,Power, Mega Yachts,150,Composite
Hydrofoil,100kt Ferry/Cargo/Super Yacht,2016,499900,(888) 285-3578,Power," Passenger, Motor Yachts, Commercial Boats",150,Composite
Bilgin,Luxury Motor Yacht,2011,560000,(877) 849-4395,Power," Mega Yachts, Motor Yachts",148,Composite
Sunrise,45 (JSS),2015,365000,(877) 430-8039,Power, Flybridge,148,Fiberglass
Sensation Yachts,3516B DITA,2006,1639500,(888) 332-7577,Power, Motor Yachts,147,Fiberglass
Ziegler Shipyards,Research Boat,1968,4904980,(866) 469-9640,Power, Commercial Boats,146,Steel
Bilgin,145 MY (JFR),2011,4254537,(877) 430-8039,Power, Mega Yachts,145,Other
Christensen,"145 Cockpit Tri-Deck""",2002,5400000,(866) 269-0990,Power," Mega Yachts, Motor Yachts, Pilothouse",145,Fiberglass
Oceando,143,2010,3995000,(866) 469-9640,Power, Mega Yachts,143,Steel
Custom,HELIPAD MOTOR YACHT,2008,2350000,(949) 466-6264,Power, Mega Yachts,143,Steel
Tecnomar,43m (SWJ),2009,999900,(877) 430-8039,Power, Motor Yachts,142,Fiberglass
Custom,Trawler,1964,149000,(866) 461-6540,Power, Trawlers,141,Steel
Lurssen Shipyard Bremen,Yacht 42,1958,2132600,(866) 469-9640,Power," Mega Yachts, Commercial Boats",140,Aluminum
Nedship,42m Baia Mare,2011,6775000,(866) 836-9139,Power," Motor Yachts, Mega Yachts, Flybridge",135,Composite
Rodriquez yachts,Yachtplus 40 Signature Series,2009,435000,(888) 573-4258,Power, Motor Yachts,135,Aluminum
Perini,135,2004,349000,(866) 469-9640,Sails, Motorsailers,135,Fiberglass
A.R.C. / NED,NEDSHIP 41ms Fly,2016,999000,(888) 573-4258,Power," Motor Yachts, Mega Yachts, Motor Yachts",134,Fiberglass
A.R.C / NED,NEDSHIP 41ms Fly,2016,595000,(888) 573-4258,Power, Flybridge,134,Fiberglass
RIGA SHIPYARD,134,2009,475000,(866) 469-9640,Power," Mega Yachts, Cruise Ship",134,Steel
Fjellstrand Catamaran,Passenger Fast Ferry,1990,445000,(888) 285-3578,Power," Passenger, Other, Commercial Boats",134,Aluminum
Bilgin,132 (JFR),2012,1195000,(877) 430-8039,Power, Sports Cruiser,132,Composite
Bilgin,H2,2015,409000,(888) 573-4258,Power, Motor Yachts,132,Steel
Yamaha,VX Cruiser,2015,340000,(866) 462-9618,PWC, Personal Watercraft,131,Fiberglass
Mengi Yay Shipyards,Custom Motoryacht,2010,544000,(888) 573-4258,Power," Mega Yachts, Motor Yachts",131,Steel
Sanlorenzo,RAISED PILOTHOUSE,2010,1750000,(772) 201-1800,Power, Motor Yachts,131,Aluminum
Blount Marine,Passenger Ship,1971,395000,(888) 573-4258,Power," Cruise Ship, Passenger",130,Steel
Gulf Craft,"""Big E""",2005,975000,(866) 469-9640,Power," Commercial Boats, Passenger",130,Aluminum
Westport,40m Tri-Deck,2011,789000,(866) 270-9815,Power, Motor Yachts,130,Fiberglass
Mangusta,130 Mangusta,2009,1995000,(888) 855-8041,Power, Motor Yachts,130,Fiberglass
Custom,Deluxe Schooner (JFR),2012,1299000,(877) 430-8039,Sails, Schooner,130,Steel
Pacific,130 Monarch,1971,379999,(866) 469-9640,Power," Cruise Ship, Mega Yachts",130,Steel
Horizon,Premiere,2009,7500000,(561) 844-4109,Power, Mega Yachts,130,Composite
Westport,Re-fit 2014,2007,1000000,(305) 796-0040,Power," Mega Yachts, Flybridge",130,Fiberglass
Pusey & Jones,Classic Fantail,1926,1790000,(888) 285-1328,Power, Pilothouse,127,Steel
Fjellstrand Catamaran,Passenger Fast Ferry,1990,7999000,(888) 285-3578,Power," Passenger, Other, Commercial Boats",127,Aluminum
Turkey-Bodrum,Passenger,2000,7500000,(888) 573-4258,Power," Commercial Boats, Passenger, Cruise Ship",126,Steel
Norship,Flybridge Motor Yacht,1994,2850000,(888) 332-7577,Power," Flybridge, Motor Yachts",125,Composite
Heesen,TBD 616V16,1987,7500000,(866) 594-5122,Power, Motor Yachts,125,Aluminum
Palmer Johnson,125,1987,1150000,(786) 395-1284,Power," Motor Yachts, Motor Yachts, Mega Yachts",125,Aluminum
Royal Huisman,Pilothouse Motor Yacht,1985,235000,(888) 573-4258,Power," Motor Yachts, Pilothouse, Flybridge",125,Aluminum
Aeroyacht,125,2013,7500000,(888) 809-0083,Sails," Multi-Hulls, Catamaran",125,Composite
HARGRAVE,125' Raised Pilothouse,2013,7999000,(888) 225-1630,Power," Motor Yachts, Pilothouse",125,Fiberglass
Custom,Tiki Barge w/ Pool,1987,425000,(877) 281-5879,Power," Commercial Boats, House Boats",120,Steel
Benetti,12V2000 M91,2007,700000,(305) 796-0040,Power," Motor Yachts, Flybridge, Mega Yachts",120,Composite
Benetti,classic 120,2009,399000,(888) 397-8511,Power, Motor Yachts,120,Other
ABD Aluminum Ltd.,Expedition Motoryacht,2002,449000,(866) 270-9815,Power, Motor Yachts,120,Aluminum
Lloyds Ships,3512DITA,1991,4650000,(888) 332-7577,Power, Motor Yachts,120,Aluminum
Fantasy,120,2008,275000,(888) 474-7027,Power, House Boats,120,Aluminum
Platinum Marine,120' Motoryacht,2009,575000,(800) 633-7172,Power," Motor Yachts, Mega Yachts",120,Fiberglass
Royal Huisman,Type Custom Motorsailor,2010,2580446,(888) 573-4258,Sails, Motorsailers,119,Wood
Tecnomar,36 Velvet (SWJ),2009,487900,(877) 430-8039,Power, Motor Yachts,118,Fiberglass
Halter Marine,Conversion Motor Yacht,1972,379000,(954) 330-8958,Power, Motor Yachts,118,Steel
Singmarine,118 Harbor Queen,1987,2452490,(866) 469-9640,Power," Motor Yachts, Mega Yachts",118,Aluminum
Yamaha,FX HO,2014,1100000,(888) 337-7133,PWC, Personal Watercraft,117,Fiberglass
Azimut,Grande 116,2012,1759395,(888) 332-7577,Power, Motor Yachts,116,Fiberglass
Azimut,MY (SWJ),2008,515000,(877) 430-8039,Power, Motor Yachts,116,Composite
DENISON,Raised Bridge Motor Yacht,1987,429000,(877) 416-0211,Power," Mega Yachts, Motor Yachts, Pilothouse",116,Aluminum
Benetti 115 World Traveller,115,1992,1100000,(866) 836-9139,Power, Motor Yachts,115,Aluminum
Hall Russel,Patra of London,1964,3795000,(888) 573-4258,Power, Motor Yachts,115,Steel
THOROUGHBRED,Houseboat,2008,2995000,(888) 541-8907,Power, House Boats,115,Aluminum
Northcoast,Flybridge,1999,365000,(888) 332-7577,Power, Motor Yachts,115,Fiberglass
Stardust Cruisers,Custom Luxury Houseboat,2009,299000,(866) 238-6463,Power," House Boats, Flybridge, Motor Yachts",115,Aluminum
Custom,FLYBRIDGE,2011,365000,(888) 573-4258,Power," Motor Yachts, Flybridge",115,Fiberglass
Falcon,115 Motor Yacht (SWJ),2006,439000,(877) 430-8039,Power," Motor Yachts, Mega Yachts",115,Fiberglass
Custom,LCM Landing Craft,1955,299900,(866) 461-6540,Power, Commercial Boats,115,Steel
